name,fy,fp,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,CashAndCashEquivalentsAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,ComprehensiveIncomeNetOfTax,DepreciationAndAmortization,DepreciationDepletionAndAmortization,NetIncomeLoss,OperatingIncomeLoss,PropertyPlantAndEquipmentNet,RetainedEarningsAccumulatedDeficit,WeightedAverageNumberOfSharesOutstandingBasic
"FORTUNE INDUSTRIES, INC.",2013,Q1,,,,,0.1,1.50E+08,12287290,12287290,,131500,129500,,,,,
FORWARD INDUSTRIES INC,2012,Q2,,4830160,,14848735.25,,,,,,,,,,,,
FORWARD INDUSTRIES INC,2013,Q1,,6077760.5,,8575233,0.01,4.00E+07,8815345,,,,23776.5,-687207.5,,,,
FORWARD INDUSTRIES INC,2013,Q2,4331049.5,,-28669.5,8315963.5,0.01,4.00E+07,8815345,8108935,-1044133,,34407.5,,-320828.25,135735.5,,
FORWARD INDUSTRIES INC,2013,Q3,,,-28745.5,,,,,,-2470560.75,,,,,,,
FORWARD INDUSTRIES INC,2014,Q2,2273626.5,,-20174,5343743,,,,,46406.5,,,,116472.5,120584.5,-7401729,8149062
FORWARD INDUSTRIES INC,2016,Q1,,5988854,,4706598.25,,,8649967,,-629507,,,,,,-10159327,
FORWARD INDUSTRIES INC,2016,Q2,137507,5719934,-22243,4123071.5,0.01,,8712125.5,,,,28830.5,,-603590,,,
"FORWARD INDUSTRIES, INC.",2018,Q1,94127,5909157,300,,,,,,,,,,99597.5,27058,,
"FORWARD INDUSTRIES, INC.",2020,Q1,,,,,,,9533851,9533851,,,,,-254828,,,
"FRANCHISE HOLDINGS INTERNATIONAL, INC.",2011,Q3,,,,,,,,2840864,,158.3333333,,,-28389.4,,,
"FRANCHISE HOLDINGS INTERNATIONAL, INC.",2012,Q1,,,,812,,,,,,,,2747.071429,-49386,,,
"FRANCHISE HOLDINGS INTERNATIONAL, INC.",2012,Q2,,,,166.5,,,,,,,,,,,,
"FRANCHISE HOLDINGS INTERNATIONAL, INC.",2013,Q1,,,,,1.00E-04,2.00E+07,2840864,2840864,,158.3333333,,,,,,
"FRANCHISE HOLDINGS INTERNATIONAL, INC.",2013,Q2,,,,,1.00E-04,2.00E+07,2840864,2840864,,158.3333333,,,-36227.6,,,2840864
"FRANCHISE HOLDINGS INTERNATIONAL, INC.",2014,Q3,,,,,1.00E-04,2.00E+07,2840864,,,475,,,,,,2840864
FRANKLIN COVEY CO,2012,Q2,,29889500,,3995000,,,,,,,,,,,,
FRANKLIN COVEY CO,2013,Q1,,,,,0.05,4.00E+07,27056000,,,,1406500,,,,,
FRANKLIN COVEY CO,2013,Q2,,34899500,2940500,9445500,0.05,4.00E+07,27056000,,2002250,,2825000,,5266000,18210500,,18104500
FRANKLIN COVEY CO,2014,Q1,,,,,,,,,,,1548500,,,,,
FRANKLIN COVEY CO,2014,Q3,8137000,48914500,1666500,9385500,,4.00E+07,27056000,,3640750,,,,,,,
FRANKLIN COVEY CO,2015,Q1,,57550500,,8086750,,,,,,,,,3547000,,,
FRANKLIN COVEY CO,2015,Q2,9787000,54738500,,12140250,,,,,1872250,,3744500,,,,,
FRANKLIN COVEY CO,2015,Q3,,,,,0.05,4.00E+07,27056000,,,,5612500,,,,,
FRANKLIN COVEY CO,2016,Q3,8258000,,,11875000,0.05,,,,,,,,,,,
FRANKLIN COVEY CO,2017,Q1,8908000,,,,,4.00E+07,,,,,,,-1807500,,,15004500
FRANKLIN COVEY CO,2017,Q2,9033500,56232000,,10659500,0.05,,,,-2745500,,,,,,72982500,14672500
FRANKLIN COVEY CO,2017,Q3,,57249000,986500,,,,,,,,,,-5965250,,70712500,14292250
FRANKLIN COVEY CO,2018,Q2,9113500,,843000,,0.05,4.00E+07,,,-4579500,,4154000,,,,,
FRANKLIN COVEY CO,2019,Q1,8737500,63780000,,,0.05,4.00E+07,27056000,,-2067500,,2543500,,,,61319000,13821000
FRANKLIN COVEY CO,2019,Q2,,,,10736250,0.05,4.00E+07,27056000,,,,,,-5318000,20563000,,
FRANKLIN COVEY CO,2020,Q2,,,295500,26254500,,,,,,,,,-2170250,18473500,59679500,13904000
FRANKLIN FINANCIAL CORP,2011,Q3,,,2566500,86313500,,,7151414,7151414,2068000,,548500,,,6151000,,
FRANKLIN FINANCIAL CORP,2012,Q3,,,-143000,,0.01,7.50E+07,14302838,14039688,7827000,,,,,,127734500,13128250
FRANKLIN FINANCIAL CORP,2013,Q2,,,8828500,128682500,0.01,7.50E+07,13039439,13039439,7890750,,,,,6613500,,12553.75
FRANKLIN FINANCIAL CORP,2013,Q3,,,8736500,,,,,,6586750,,,,,,,
FRANKLIN FINANCIAL CORP,2014,Q1,,,10333000,,0.01,7.50E+07,12185825,,2294000,,,2447000,,,,
FRANKLIN FINANCIAL CORP,2014,Q2,,,10383000,112768500,,,,12091824,4932500,,,4782500,,,139749000,11500250
FRANKLIN FINANCIAL CORP,2014,Q3,,,,,0.01,7.50E+07,12016050,12016050,,,,5192500,,,,11318000
FRANKLIN RESOURCES INC,2009,Q3,,,13745000,2684644250,0.1,1.00E+09,231584350,231584350,,143407000,,,,,,
FRANKLIN RESOURCES INC,2010,Q2,,,123519000,2610092250,0.1,1.00E+09,228357805.5,228357805.5,,110168500,,352871250,,535122000,7361870000,
FRANKLIN RESOURCES INC,2010,Q3,,,81304500,2848822750,0.1,1.00E+09,227354680,227354680,,,,,,,,
FRANKLIN RESOURCES INC,2011,Q2,,,189624500,,0.1,1.00E+09,222925367.5,222925367.5,,,,,,555455500,7815384000,224664000
FRANKLIN RESOURCES INC,2017,Q1,,,-355625000,6314162500,0.1,1.00E+09,,568014351.5,,21250000,,4.44E+08,620250000,517850000,12276100000,581350000
FRANKLIN RESOURCES INC,2017,Q2,,,,,0.1,,,566214436,624450000,,,,,,12368400000,575600000
FRANKLIN RESOURCES INC,2017,Q3,,,-337683333.3,,,,,,,64050000,,,1163125000,,12445700000,570875000
FRANKLIN RESOURCES INC,2018,Q1,,,,,,,,553635799.5,,20400000,,-71550000,5.84E+08,,12409400000,557900000
FRANKLIN RESOURCES INC,2018,Q2,,,-324916666.7,,0.1,1.00E+09,,,410700000,,,,,,11556600000,
FRANKLIN RESOURCES INC,2018,Q3,,,,,0.1,1.00E+09,541985894.5,541985894.5,,60500000,,,,519800000,11501400000,548150000
FRANKLIN RESOURCES INC,2019,Q1,,,-328900000,,0.1,1.00E+09,515302487.5,515302487.5,-152100000,20600000,,,,,10152900000,
FRANKLIN RESOURCES INC,2019,Q2,,,,7104033333,0.1,1.00E+09,513418379,513418379,,,,,715750000,555800000,,
FREEDOM PETROLEUM INC.,2013,Q1,,,,,,,,0,,,,,,,,
"FRESH HARVEST PRODUCTS, INC.",2012,Q1,,,,7314,,,,541211058,,,,-210638,,1936,,
"FRESH HARVEST PRODUCTS, INC.",2012,Q2,,,,5557,,,,,,,,,,,,
"FRP HOLDINGS, INC.",2015,Q1,6546500,8164000,,747250,0.1,,,,,,4011500,,4611000,,,
"FRP HOLDINGS, INC.",2015,Q2,,,22666.66667,,,,,,,,,,,,,
"FRP HOLDINGS, INC.",2015,Q3,,,,,0.1,2.50E+07,9741520,,,,5390000,,,,,
"FRP HOLDINGS, INC.",2016,Q3,,,,,,,,,4772000,,,,,,,9806.25
"FTE NETWORKS, INC.",2015,Q3,,2108610,,,,,42544861,,,,,,-30165,418076,-10812519,
FUELCELL ENERGY INC,2012,Q1,15992000,22921000,,33749250,,,,139491935,,,,-8440500,-8027500,23677000,,
FUELCELL ENERGY INC,2012,Q2,,19493000,,42281000,,,,,,,,,,,,
FUELCELL ENERGY INC,2013,Q1,,,,58057500,1.00E-04,2.75E+08,187676075.5,,,,,,,,,
FUELCELL ENERGY INC,2013,Q2,15908500,,76500,48716500,1.00E-04,2.75E+08,188896150.5,188896150.5,-12478250,,,,,22584500,,
FUELCELL ENERGY INC,2014,Q1,,,91000,,1.00E-04,2.75E+08,216383800.5,,-11319000,,,,,,,
FUELCELL ENERGY INC,2014,Q3,,44335500,,,1.00E-04,337500000,240106500.5,240106500.5,,,,-17668250,,,,218542592.8
FUELCELL ENERGY INC,2015,Q1,22735000,62501500,,78634500,1.00E-04,,,,,,,,-6350000,,,
FUELCELL ENERGY INC,2015,Q2,21602500,53948000,-329000,,,,,,-16798250,,,,,,,
FUELCELL ENERGY INC,2015,Q3,21088000,,,,,,296108660.5,,-17245750,,,,-14118000,26420000,-819563500,
FUELCELL ENERGY INC,2017,Q1,13991500,,,,,41250000,,,,,,,,,,
FUELCELL ENERGY INC,2017,Q2,,24714500,,,,,,41375015,-20538000,,,,,,-903091500,34725267
FUELCELL ENERGY INC,2017,Q3,,25454500,,59935000,,,,,,,,-27507500,,39258000,-911592000,
FUELCELL ENERGY INC,2018,Q2,42714500,,-371500,,1.00E-04,1.75E+08,,,,,,,-16235750,,-952211500,
FUELCELL ENERGY INC,2018,Q3,43374500,53975500,,48978500,,,,,-27463250,,,-27511000,-24580000,44870500,,67228201
FUELCELL ENERGY INC,2019,Q2,,,,27090000,1.00E-04,2.25E+08,10841008,10841008,,,,,,45882000,,
FUELCELL ENERGY INC,2020,Q2,,4704500,-692500,19250000,1.00E-04,2.25E+08,202330542.5,202330542.5,,,,-30666000,-17478500,,,
FULLER H B CO,2010,Q3,,,-79510000,,1,1.60E+08,,48816956.5,,,,,,,,
FULLER H B CO,2011,Q1,112489000,,-77128500,,1,1.60E+08,,49306661,,,,16651500,115500,,,
FULLER H B CO,2011,Q2,117988000,233101000,-58989000,,1000,1.60E+08,,49271164,,,,,,,662722000,48784250
FULLER H B CO,2011,Q3,,,-57218500,130820250,,,,49235334,,,,,54635000,254977500,,48789000
FULLER H B CO,2012,Q1,,244458000,-87488000,,,,,,,,,14828000,,254388000,,49185500
FULLER H B CO,2013,Q2,164863000,,,167642250,1,1.60E+08,,50063052,7848750,,,,,,,
FULLER H B CO,2014,Q1,,,-71167500,,1,1.60E+08,,,17782000,,,17624000,,,,
FULLER H B CO,2017,Q1,172212000,,,126175500,1,1.60E+08,,,,,,,31959500,512605000,,
FULLER H B CO,2017,Q2,172471500,364876000,,,,,,50329277.5,,,,,,515579000,1103891500,50265500
FULLER H B CO,2019,Q2,286656500,,,,,,,,24877000,,,,89593000,631943500,1302636500,50697750
FULLER H B CO,2019,Q3,,,,,1,,,,,,,78978500,,,,50746500
FUNCTION (X) INC.,2012,Q1,,,,6778600,,,,,,,,-13452250,-13477750,87000,-37131666.67,
FUNCTION (X) INC.,2012,Q2,,,,5301000,,,,,,,,,,,,
FUNCTION(X) INC.,2016,Q3,,,,1384200,0.001,,,,,,,,,,,
FUNDTHATCOMPANY,2017,Q1,2541,,,,,7.50E+07,,,,,,,22683,,,
FUNDTHATCOMPANY,2017,Q2,,,,,0.001,,,608090666.7,,,,,,,-22206,
FUNDTHATCOMPANY,2018,Q1,5958.5,,,,,,,49374000,,,,-6036,-52847,,-49860,
FUSE ENTERPRISES INC.,2016,Q2,,,,,0.001,,5500000,,,,,-7522.5,,,,
FUSE ENTERPRISES INC.,2017,Q1,,,,,,7.50E+07,,,,,,,-18257,,,7265000
FUSE ENTERPRISES INC.,2018,Q3,,,,549361.5,,,,,,,,-1876827.25,-1822739.75,12133,-3242804.5,
GAMETECH INTERNATIONAL INC,2012,Q1,2092500,2818000,,1313250,,,,11874634,,,,285000,439500,7545500,,
GEE GROUP INC.,2016,Q3,,,,4745000,,,,9106000,,,,,,,,6148500
GEE GROUP INC.,2017,Q1,1891000,12073000,,2360500,,2.00E+08,,,,72500,425500,,204000,580000,,
GEE GROUP INC.,2017,Q2,1743500,12334000,,,,,,9629000,,,,,,,-13121000,9318500
GEE GROUP INC.,2018,Q1,2658000,22923500,,,,,,9947,,88000,970500,-1370666.667,976000,,-16349500,9642
GEE GROUP INC.,2018,Q2,2643000,21888000,,,,,,,,,,,,916000,-17788500,
GEE GROUP INC.,2019,Q2,,,,,,2.00E+08,11252000,11252000,,,,,,867000,,
"GELIA GROUP, CORP.",2013,Q2,,,,13683,,7.50E+07,4585000,,,,,-5342.333333,-5342.333333,,-3544,4180346.5
"GELTECH SOLUTIONS, INC.",2012,Q1,,79719.33333,,750857.8,,,,,,,,-3005804.5,-2658624.75,151343.6667,,
GELTOLOGY INC,2013,Q1,,,,1294677,1.00E-04,2.00E+08,127349551,127349551,,,301999.5,,,,,
"GEN SERV, INC.",2016,Q3,,,,,0.001,,,1.05E+09,,,,,,,,
GENCOR INDUSTRIES INC,2012,Q1,2115500,1409500,,2720000,,,,8008632,,,,990000,-1634500,8230000,,
GENCOR INDUSTRIES INC,2012,Q2,2373500,1554000,,6059750,,,,,,,,,,,,
GENCOR INDUSTRIES INC,2012,Q3,,1485000,,,0.1,1.50E+07,8008632,8008632,,,720000,,1315250,8340000,90403500,9518000
GENCOR INDUSTRIES INC,2013,Q1,,,,,0.1,1.50E+07,8008632,8008632,,,273500,,,,,
GENCOR INDUSTRIES INC,2013,Q2,2073000,,,,,1.50E+07,8008632,8008632,,,546000,,,8159000,,9518000
GENCOR INDUSTRIES INC,2014,Q1,,,,,0.1,1.50E+07,8008632,,,,,,,,,
GENCOR INDUSTRIES INC,2015,Q2,1440500,1772000,,,,,,,,,,,,,,
GENCOR INDUSTRIES INC,2015,Q3,,1348500,,,,,,,,,,1573250,634250,,102834500,
GENCOR INDUSTRIES INC,2016,Q2,,1192000,,,,,,,,,694000,,2056250,,,
GENCOR INDUSTRIES INC,2016,Q3,,,,,,,,,,,,,,,,9536000
GENCOR INDUSTRIES INC,2017,Q2,2292000,1401000,,,,,,,,,,,,,110285500,14352000
GENCOR INDUSTRIES INC,2017,Q3,,,,16369500,,,,,,,,4354500,,5235000,111579500,
GENCOR INDUSTRIES INC,2018,Q1,,,,21644250,,,,,,,,,1617500,6549000,,
GENCOR INDUSTRIES INC,2018,Q2,2512000,,,,,,,,,,626500,,,,119354000,
GENCOR INDUSTRIES INC,2019,Q1,2715500,1246500,,,,,,,,,343000,,,,129019500,14499500
GENCOR INDUSTRIES INC,2019,Q2,,,,9799000,,,,,,,,,6776250,8127500,,
GENCOR INDUSTRIES INC,2020,Q2,3143500,1984500,,14520000,,,,,,,,3202333.333,6145000,,,
GENCORP INC,2012,Q2,,107400000,,182625000,,,,,,,,,,,,
GENERAL AIRCRAFT INC.,2012,Q2,,,,,,,,,,,,,,208072.5,,
GENERAL AIRCRAFT INC.,2012,Q3,,,,,0.001,9.00E+07,11750000,,,,,,,205416,,11422881.5
GENERAL AIRCRAFT INC.,2013,Q1,,,,,0.001,9.00E+07,13500000,,,,,,,,,
GENERAL CLEANING & MAINTENANCE,2013,Q1,,,,,,,,,,,,-16400,,,,
GENERAL EMPLOYMENT ENTERPRISES INC,2012,Q3,338000,5981000,,,,50000,50000,21699,,,322500,,104500,473500,-5543500,20607.75
GENERAL EMPLOYMENT ENTERPRISES INC,2014,Q1,,,,,,,,,,,123000,,,,,
GENERAL EMPLOYMENT ENTERPRISES INC,2014,Q2,1164500,6373666.667,,314000,,,,,,,,-1007600,-646500,,,
GENERAL EMPLOYMENT ENTERPRISES INC,2014,Q3,,6186000,,,,2.00E+08,24349000,24349000,,,244250,-1041800,,,,
GENERAL EMPLOYMENT ENTERPRISES INC,2015,Q1,,5398333.333,,258500,,,,,,,,,-126000,,,
GENERAL EMPLOYMENT ENTERPRISES INC,2015,Q2,696500,5249500,,477750,,,,,,,242000,,,,,
GENERAL FINANCE CORP,2013,Q2,,,,6046000,1.00E-04,1.00E+08,,53366799.8,576333.3333,,,,,,,
GENERAL FINANCE CORP,2019,Q2,,,,,1.00E-04,1.00E+08,28663713.5,28663713.5,,,,,,22774000,,
"GENERAL SALES & LEASING, INC.",2013,Q2,,,,,,3.00E+08,13500000,,,,,,,187706,,117500000
"GENERAL SALES & LEASING, INC.",2014,Q1,,,,,0.001,3.00E+08,1.35E+08,,,,,,,,,
GENEREX BIOTECHNOLOGY CORP,2019,Q2,,,,2086854.5,0.001,7.50E+08,22450568.5,41396142.5,,,,,-3582577.5,338571.5,,
GENUFOOD ENERGY ENZYMES CORP.,2012,Q2,,,,253782,,,,,,,,,,,,
GENUFOOD ENERGY ENZYMES CORP.,2012,Q3,11388,,-2293,,0.001,5.00E+08,385047972,385047972,,,,,-319262.6,,,
GENUFOOD ENERGY ENZYMES CORP.,2013,Q1,44442.5,,,831025.25,0.001,5.00E+08,393308472,,,,,-597236,,,,
GENUFOOD ENERGY ENZYMES CORP.,2013,Q2,32198,,-6177.5,767259.5,0.001,5.00E+08,393308472,393308472,,,,,-553825.2,6243.5,,
GENUFOOD ENERGY ENZYMES CORP.,2014,Q1,,,9963,,0.001,5.00E+08,394245972,,,,,-1626840.667,,,,
GENUFOOD ENERGY ENZYMES CORP.,2014,Q3,102177,52,3446,775376.75,0.001,5.00E+08,397843972,397843972,-1631022.2,,,-1632920.2,-1647636.6,76302,,
"GEOBIO ENERGY, INC.",2012,Q3,,,,,,,,,,37000,64333.33333,-4823846.154,,,,
"GEORGE RISK INDUSTRIES, INC.",2020,Q1,,,,5270000,,,8502881,8502881,,,,,841500,,,
GEORGETOWN CORP,2012,Q1,,,,,,,,270675000,,,,-67593,-59056.33333,,,
GEOSPACE TECHNOLOGIES CORP,2013,Q1,,,,41217000,,,,,,,,,,,,
GEOSPACE TECHNOLOGIES CORP,2013,Q2,,25169500,-155500,34649500,,,,,22054750,,,,32050500,37438000,,12794725.5
GEOSPACE TECHNOLOGIES CORP,2014,Q1,,,-1112500,,,,,,23195000,,,,,,,
GEOSPACE TECHNOLOGIES CORP,2014,Q3,10717000,37550500,-1310000,29010750,,,,,28544000,,,,,,,
GEOSPACE TECHNOLOGIES CORP,2017,Q2,2114500,16050500,,20080250,,,,,-16810250,,,,,,170704000,13088345.25
GEOSPACE TECHNOLOGIES CORP,2017,Q3,,11859500,-15222000,,,,,,,,,,-25657000,,163516000,13092532
GEOSPACE TECHNOLOGIES CORP,2018,Q2,3760500,,-13857500,,0.01,2.00E+07,13508616,,,,,,,,118237000,
GEOSPACE TECHNOLOGIES CORP,2018,Q3,3316000,,,,,,,,-18865000,,,-18940250,-18754500,35786000,115839000,13196692.5
GH CAPITAL INC.,2018,Q2,21067.5,2150.5,896,,,,,,,,,,,,-5907004,
GH CAPITAL INC.,2019,Q1,28370,,,,1.00E-04,4.90E+08,74199156,74199156,-261171.5,,,,,,-6474057.5,
GH CAPITAL INC.,2019,Q2,,,,,1.00E-04,4.90E+08,147068426.5,147068426.5,,,,,,,,
"GIGCAPITAL, INC.",2018,Q2,139474,,,,1.00E-04,1.00E+08,4103645,,,,,,,,-123948,
"GIGCAPITAL, INC.",2018,Q3,105837,,,,1.00E-04,,,,,,,42025,-538037.5,,-19949,
"GLOBAL EARTH ENERGY, INC.",2012,Q1,,,,3776.8,,,,,,,,,,,-7419591,
"GLOBAL EARTH ENERGY, INC.",2012,Q2,,,,6312.4,,,,,,,,,,,,
"GLOBAL EARTH ENERGY, INC.",2013,Q1,,,,,0.001,844828987,230616844,,,,,,,,,
"GLOBAL EARTH ENERGY, INC.",2013,Q2,,,,3327,0.001,844828987,300893917.5,300893897.5,,,,,,,,
GLOBAL GROUP ENTERPRISES CORP.,2012,Q3,,,,,1.00E-04,2.50E+08,10500000,10500000,,,,,,,-14389.5,
GLOBAL LINES INC,2012,Q2,,,,,,,,,,,,,,5543,,
GLOBAL LINES INC,2012,Q3,,,,,0.001,7.50E+07,5900000,5900000,,,1518,,,5240.5,,
GLOBAL LINES INC,2013,Q1,,,,,,,7300,,,,,,,,,
GLOBAL MEDICAL REIT INC.,2014,Q3,,,,7140.333333,,1.00E+08,8.00E+06,,,,,,,,,
GLOBAL MEDICAL REIT INC.,2015,Q1,,,,125636.5,0.001,,,,,,,,,,,
GO ECO GROUP,2018,Q1,,,,47484.5,,,,,,,,,-215474.5,,,
GO ECO GROUP,2018,Q2,,,,,0.001,2.00E+09,,,,,,,-440473.75,,-3123256,
"GO2GREEN LANDSCAPING, INC.",2017,Q2,,825,,,0.001,,,14050000,,,,,,,-40282.5,
"GO2GREEN LANDSCAPING, INC.",2018,Q1,,1050,,,,,,14400000,,,,-12872.5,-12872.5,,-81559,
GOLD DYNAMICS CORP.,2012,Q1,,,,0,,,,103250000,,,,,,,,
GOLD DYNAMICS CORP.,2017,Q2,,,,,,,,148850000,,,,,,,-174414,
"GOLD HILL RESOURCES, INC.",2014,Q1,,,,,0.001,2.00E+08,25050954,,,,,,,,,
"GOLD HILL RESOURCES, INC.",2014,Q2,,,,96516.75,,,,,,,,-230574,-102232.75,,-308513.5,
"GOLD HILL RESOURCES, INC.",2014,Q3,105036.5,,,77873.25,,2.00E+08,25156573.5,,,,,,,,,
GOLD LAKES CORP.,2016,Q3,,,,,0.001,,,13389573,,,,,,,,12332786.8
GOLD LAKES CORP.,2017,Q1,,,,,,5.00E+08,68956815,,,,,,,,-18019480.33,47578475
GOLD PARTY PAYDAY INC,2014,Q1,,,,,0,9.50E+07,4333350,,,,,-24603.8,,,,
GOLD PARTY PAYDAY INC,2014,Q2,,,,,,,,,,,,-28391.14286,,,,
GOLDEN GRAIN ENERGY,2011,Q3,,,,,,,,24460000,,,7054574.5,,7776647.25,77538318,,
GOLDEN GRAIN ENERGY,2012,Q1,5503291.5,9583693,,213247.5,,,,24460000,,,,7971046,5766445,71968474,,
GOLDEN GRAIN ENERGY,2012,Q2,5418707,9706610.5,,945762.5,,,,,,,,,,,,
GOLDEN GRAIN ENERGY,2012,Q3,,15425402,,,,,,,,,6850888,,4628764,72135987,,
GOLDEN GRAIN ENERGY,2013,Q1,,,,153330.25,,,,22171500,,,2306919,,,,,
GOLDEN GRAIN ENERGY,2013,Q2,6082127,7458070,,,,,,22171500,,,4608723,,2079266.5,70241877.5,,
GOLDEN GRAIN ENERGY,2016,Q1,,,,24978565.25,,,,,,,,,,,,
GOLDEN GRAIN ENERGY,2017,Q1,7729113.5,6487566,,14507816.75,,,,,,,2209242,7188433.5,,66513058.5,,
GOLDEN GRAIN ENERGY,2017,Q2,7298485,5467201,,,,,,19873000,,,,,,66051209,,
GOLDEN GRAIN ENERGY,2018,Q1,6318885,,,,,,,,,,,,,65116870.5,,
GOLDEN GRAIN ENERGY,2018,Q2,,,,,,,,,,,4594192,,3893268.25,,,
GOLDEN GRAIN ENERGY,2019,Q2,5152138,,,,,,19873000,19873000,,,,,281681.75,74412473,,
"GOLDEN OASIS NEW ENERGY GROUP, INC.",2012,Q2,,,,26042.33333,,,,,-18820.6,,,,,,,
GOLDEN ROYAL DEVELOPMENT INC.,2019,Q2,,,,,,,7841550,7841550,,,,,-12075.75,,-38671.5,
"GOLDSPAN RESOURCES, INC.",2012,Q3,28665.5,,,,0.001,4.00E+08,62324631,,,,,,,,-650630,
"GOLDSPAN RESOURCES, INC.",2013,Q1,,,,,0.001,4.00E+08,66949631,,,,,,,,,
GOLF ROUNDS COM INC,2013,Q1,,,,,0.01,1.20E+07,3567377,3567377,,,,-30647,,,,
GOOD TIMES RESTAURANTS INC,2012,Q2,,,,712250,,,,,,,,,,,,
GOOD TIMES RESTAURANTS INC,2013,Q1,,,,796000,0.001,5.00E+07,2726214,2726214,,205000,,,,,,
GOOD TIMES RESTAURANTS INC,2013,Q2,551500,,,,0.001,5.00E+07,2726214,2726214,,285250,,,-485000,2996000,,
GOOD TIMES RESTAURANTS INC,2014,Q1,,,,,0.001,5.00E+07,4926214,,,,,,,,,
GOOD TIMES RESTAURANTS INC,2014,Q3,,,,,0.001,5.00E+07,6201522,6201522,,342250,,-190500,,,,4492920.75
GOOD TIMES RESTAURANTS INC,2016,Q1,,,,11049250,,,12259550,,,,,,,,-21366000,
GOOD TIMES RESTAURANTS INC,2016,Q3,,,,,,,,12271087.5,,,,,,,,11400993.5
GOOD TIMES RESTAURANTS INC.,2017,Q1,2641000,,,,,5.00E+07,,,,,,,-701500,,,12273957.5
GOOD TIMES RESTAURANTS INC.,2017,Q2,2548000,,,,,,12290087.5,12290087.5,,,,,,21860500,-22797000,
GOOD TIMES RESTAURANTS INC.,2018,Q1,3022000,,,4370750,,,,,,,,,-4.00E+05,28769500,,
GOOD TIMES RESTAURANTS INC.,2019,Q2,3255000,,,,,,12501970,12501970,,2050000,,,-238500,35533000,-26164500,12490371.25
GOOD TIMES RESTAURANTS INC.,2020,Q1,,,,2990250,,,12559055,12559055,,,,,-476500,,,
"GRAND PERFECTA, INC.",2020,Q1,,,,,,,7977332,7977332,,,,,,,,
"GRANITE FALLS ENERGY, LLC",2011,Q3,1622190.5,,,,,,,30656,,,4057334,,3566621.75,36473236.5,,
"GRANITE FALLS ENERGY, LLC",2012,Q3,1375730.5,,,,,,,30631,,,3061528,,,37471228.5,,
"GRANITE FALLS ENERGY, LLC",2013,Q1,,,,,,,,30631,,,1109371,,,,,
"GRANITE FALLS ENERGY, LLC",2015,Q3,,,,,,,,,,,,,20747810.75,86820574,,
"GRANITE FALLS ENERGY, LLC",2016,Q2,,,,,,,30606,,,,4764091.5,,3538209.25,,,
"GRANITE FALLS ENERGY, LLC",2017,Q1,4574087.5,,,,,30606,,,,,2450820,,2634858.5,78007111.5,,
"GRANITE FALLS ENERGY, LLC",2018,Q2,5947328,,,,,,,,,,4804984,,3910334.75,,,
"GRANITE FALLS ENERGY, LLC",2018,Q3,6707812,,,,,,,,,,6998030.5,,,70256114,,
GRAPHENE & SOLAR TECHNOLOGIES LTD,2019,Q2,131074.5,,,9500,0,5.00E+08,237454045,237454045,,,,,,42573.5,,
"GREAT WESTERN BANCORP, INC.",2017,Q1,,,,,,5.00E+08,,,,,,,,,,
"GREAT WESTERN BANCORP, INC.",2017,Q2,,,,318177750,0.01,,,58726910.5,50077750,,,,,,370970500,57022413.75
"GREAT WESTERN BANCORP, INC.",2019,Q1,,,,,0.01,5.00E+08,57927791,57927791,42099000,,2907500,,,,568639000,58438743.5
"GREAT WESTERN BANCORP, INC.",2019,Q2,,,,290667000,0.01,5.00E+08,57927791,57927791,,,,,,114514000,,
"GREAT WESTERN BANCORP, INC.",2019,Q3,,,,,,,,,,,,76343250,,,,58049118.75
"GREEN 4 MEDIA, INC.",2012,Q1,,,,8492.666667,,,,1105000,,,,,,,,
"GREEN 4 MEDIA, INC.",2012,Q2,,1790,,,,,,,,,,,,,,
"GREEN 4 MEDIA, INC.",2012,Q3,,2892,,,0.001,1.00E+08,1287500,1287500,,,,,,,,1452858
"GREEN 4 MEDIA, INC.",2013,Q2,,,,,,1.00E+08,1575000,1575000,,,,,,,,
GREEN MOUNTAIN COFFEE ROASTERS INC,2011,Q2,146958500,199486500,5634500,,0.1,2.00E+08,137411720.5,,,,,,,,247389000,136436106.5
GREEN MOUNTAIN COFFEE ROASTERS INC,2012,Q1,,361392500,-12014500,33613500,,,,,,,,,,626991500,,148039399
GREEN MOUNTAIN COFFEE ROASTERS INC,2012,Q3,240332000,288091500,-14151500,,,5.00E+08,154996532.5,154996532.5,128665250,4.80E+07,69833250,,,712771000,545309000,150450212
GREEN MOUNTAIN COFFEE ROASTERS INC,2013,Q1,280959500,398231500,,63478500,0.1,5.00E+08,150678332.5,,,,46204500,,,,,
GREENBRIER COMPANIES INC,2014,Q1,,,-4819500,34189500,,5.00E+07,,,6391400,,,,12261800,,,27780500
GREENBRIER COMPANIES INC,2014,Q2,,,,,,5.00E+07,,27945500,9113200,,,8466700,,,190329500,
GREENBRIER COMPANIES INC,2015,Q2,,,,,,,,,,,,,,,,27758750
GREENBRIER COMPANIES INC,2015,Q3,,,,,,,,,60376000,,,61390625,86828150,,,
